Upload a garment image,Sleeve Length,Fabric,Color / Pattern,timestamp
.gradio/flagged/Upload a garment image/79bb302ef0cd0ce0eb47/clipboard.png,"{""label"": ""Long"", ""confidences"": [{""label"": ""Long"", ""confidence"": 0.9962866306304932}, {""label"": ""Medium"", ""confidence"": 0.0030980620067566633}, {""label"": ""Sleeveless"", ""confidence"": 0.00038069888250902295}, {""label"": ""Short"", ""confidence"": 0.00023455028713215142}]}","{""label"": ""Cotton"", ""confidences"": [{""label"": ""Cotton"", ""confidence"": 0.9264729022979736}, {""label"": ""Knitted"", ""confidence"": 0.055198654532432556}, {""label"": ""Denim"", ""confidence"": 0.01782316528260708}, {""label"": ""Chiffon"", ""confidence"": 0.00044424764928407967}, {""label"": ""Leather"", ""confidence"": 2.9680184525204822e-05}, {""label"": ""Other"", ""confidence"": 2.8133696105214767e-05}, {""label"": ""Furry"", ""confidence"": 3.2678433399269124e-06}]}","{""label"": ""Pure Color"", ""confidences"": [{""label"": ""Pure Color"", ""confidence"": 0.9314478039741516}, {""label"": ""Graphic"", ""confidence"": 0.0372561514377594}, {""label"": ""Striped"", ""confidence"": 0.020022232085466385}, {""label"": ""Color Block"", ""confidence"": 0.010222082026302814}, {""label"": ""Other"", ""confidence"": 0.0008469051099382341}, {""label"": ""Lattice"", ""confidence"": 0.00016079643683042377}, {""label"": ""Floral"", ""confidence"": 4.3953095882898197e-05}]}",2026-06-02 17:13:57.331332
.gradio/flagged/Upload a garment image/e501c0717a0e9162fda4/clipboard.png,"{""label"": ""Long"", ""confidences"": [{""label"": ""Long"", ""confidence"": 0.9962866306304932}, {""label"": ""Medium"", ""confidence"": 0.0030980620067566633}, {""label"": ""Sleeveless"", ""confidence"": 0.00038069888250902295}, {""label"": ""Short"", ""confidence"": 0.00023455028713215142}]}","{""label"": ""Cotton"", ""confidences"": [{""label"": ""Cotton"", ""confidence"": 0.9264729022979736}, {""label"": ""Knitted"", ""confidence"": 0.055198654532432556}, {""label"": ""Denim"", ""confidence"": 0.01782316528260708}, {""label"": ""Chiffon"", ""confidence"": 0.00044424764928407967}, {""label"": ""Leather"", ""confidence"": 2.9680184525204822e-05}, {""label"": ""Other"", ""confidence"": 2.8133696105214767e-05}, {""label"": ""Furry"", ""confidence"": 3.2678433399269124e-06}]}","{""label"": ""Pure Color"", ""confidences"": [{""label"": ""Pure Color"", ""confidence"": 0.9314478039741516}, {""label"": ""Graphic"", ""confidence"": 0.0372561514377594}, {""label"": ""Striped"", ""confidence"": 0.020022232085466385}, {""label"": ""Color Block"", ""confidence"": 0.010222082026302814}, {""label"": ""Other"", ""confidence"": 0.0008469051099382341}, {""label"": ""Lattice"", ""confidence"": 0.00016079643683042377}, {""label"": ""Floral"", ""confidence"": 4.3953095882898197e-05}]}",2026-06-02 17:14:05.204268
